EOY_rank,player_name,player_id,Season,Reg Season,Age,team,First,Pts Won,Pts Max,Share,G,mp_pg,PTS_pg,TRB_pg,AST_pg,STL_pg,BLK_pg,FG%,3P%,FT%,WS,WS/48,BPM,VORP,raptor_box_total,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season
1,Nikola Jokic,jokicni01,2021,RS,25,DEN,91,971,1000,0.971,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,11.7,8.6,10.56259603,3.325432364,8.985251018,0.602795619,9.588046638,15.79773324,15.79773324
2,Joel Embiid,embiijo01,2021,RS,26,PHI,1,586,1000,0.586,51,31.1,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,8.8,0.266,7.2,3.7,8.098972594,6.265168593,3.817010957,4.254779471,8.071790427,8.827112238,8.827112238
3,Stephen Curry,curryst01,2021,RS,32,GSW,5,453,1000,0.453,63,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9,0.201,8.1,5.5,6.506491103,6.066388322,8.763388359,-1.937159322,6.826229037,10.78923966,10.78923966
4,Giannis Antetokounmpo,antetgi01,2021,RS,26,MIL,1,348,1000,0.348,61,33,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,8.8,5.5,6.738649906,5.011138591,4.624035835,1.993071914,6.617107749,9.745890979,9.745890979
5,Chris Paul,paulch01,2021,RS,35,PHO,2,139,1000,0.139,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,4.7,3.7,3.138771434,3.113422802,4.324025693,-1.111711252,3.212314441,6.674179303,6.674179303
6,Luka Doncic,doncilu01,2021,RS,21,DAL,0,42,1000,0.042,66,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,7.7,0.163,6.7,5,5.459299098,3.096239722,6.338846324,-1.110759513,5.228086811,9.319814104,9.319814104
7,Damian Lillard,lillada01,2021,RS,30,POR,0,38,1000,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,5.9,4.8,4.443936589,4.035983056,7.512293757,-2.934059799,4.578233958,9.086944543,9.086944543
8,Julius Randle,randlju01,2021,RS,26,NYK,0,20,1000,0.02,71,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,7.8,0.14,3.7,3.8,3.104871524,2.593831015,0.9397487,2.209745874,3.149494574,8.043189018,8.043189018
9,Derrick Rose,rosede01,2021,RS,32,TOT,1,10,1000,0.01,50,25.6,14.7,2.6,4.2,1,0.4,0.47,0.388,0.866,3.1,0.118,1.5,1.1,4.942911721,7.218874089,2.680322596,2.998587432,5.678910029,3.980517011,3.980517011
10,Rudy Gobert,goberru01,2021,RS,28,UTA,0,8,1000,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,11.3,0.248,4.5,3.6,6.757776457,12.73000965,-0.298147756,8.588385389,8.290237633,12.34985427,12.34985427
11,Russell Westbrook,westbru01,2021,RS,32,WAS,0,5,1000,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,3.7,0.075,3.4,3.2,-1.954129117,0.02100138,0.366310205,-1.980725084,-1.614414879,1.407782257,1.407782257
12,Ben Simmons,simmobe01,2021,RS,24,PHI,0,3,1000,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6,0.153,2.7,2.2,1.669640024,3.281034453,0.083878315,1.957578528,2.041456843,4.625758697,4.625758697
13,James Harden,hardeja01,2021,RS,31,TOT,0,1,1000,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,7,0.208,6.8,3.5,6.636484852,0.157010484,6.762261083,-1.177969061,5.584292021,5.594192918,5.594192918
14,LeBron James,jamesle01,2021,RS,36,LAL,0,1,1000,0.001,45,33.4,25,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179,7.5,3.6,4.91739312,6.697723774,5.273957958,0.293089702,5.56704766,6.396616992,6.396616992
15,Kawhi Leonard,leonaka01,2021,RS,29,LAC,0,1,1000,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238,6.7,3.9,7.359373422,9.387779285,6.405901301,1.706382453,8.112283754,9.747312442,9.747312442
