player_name,player_id,season,season_type,team,G,poss,min_played,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,PO,MIA,61,24,12,-20.40072027,17.10694278,-3.293777484,-13.28829719,28.12665023,14.83835303,-19.81565206,20.46111224,0.645460181,0.022054179,0,0.022054179,-16.26784964,10.90999542,-5.357854222,2.803496305
Precious Achiuwa,achiupr01,2021,RS,MIA,61,1557,737,-3.90168522,1.362527729,-2.539157491,-3.956338753,-1.313999678,-5.270338431,-4.143905501,0.874222985,-3.269682516,-0.195980819,-0.195980819,0,-3.709574112,0.532336749,-3.177237363,0.295137007
Jaylen Adams,adamsja01,2021,RS,MIL,7,41,18,-13.0840432,-3.407053777,-16.49109698,-26.6363796,7.175866222,-19.46051338,-16.83104695,-1.514834024,-18.34588098,-0.140622006,-0.140622006,0,-12.83637181,-4.204280734,-17.04065254,-1.836081381
Steven Adams,adamsst01,2021,RS,NOP,58,3313,1605,-1.43230156,2.257677234,0.825375674,3.49694976,-3.625668333,-0.128718574,-0.511899188,1.191505759,0.679606572,2.774217858,2.774217858,0,-0.659187252,1.441637627,0.782450375,-1.229212637
Bam Adebayo,adebaba01,2021,PO,MIA,64,293,136,-5.182811959,-1.069661764,-6.252473723,-3.151550474,11.69359701,8.542046539,-4.859448798,1.506796732,-3.352652066,-0.043864859,0,-0.043864859,-5.046166036,1.312847901,-3.733318135,1.673563107
Bam Adebayo,adebaba01,2021,RS,MIA,64,4362,2143,0.229752497,2.234034427,2.463786924,0.845049001,0.190340964,1.035389965,0.390460636,1.931939679,2.322400315,5.539123598,5.539123598,0,0.379664524,1.5139561,1.893620624,-0.124335343
LaMarcus Aldridge,aldrila01,2021,RS,BRK,5,265,130,-0.851581949,1.084465071,0.232883123,4.69846772,0.357705858,5.056173577,0.169769482,1.010426325,1.180195807,0.25956102,0.25956102,0,0.888842537,0.318751988,1.207594525,-0.431195186
LaMarcus Aldridge,aldrila01,2021,RS,SAS,21,1138,544,-3.114561173,-0.7562504,-3.870811573,-1.919503141,-2.40511444,-4.324617581,-3.041258755,-1.12359308,-4.164851835,-0.391017193,-0.391017193,0,-3.101933327,-0.389807623,-3.491740949,-0.430255494
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,46,2109,1007,-0.827924074,0.752325849,-0.075598225,-2.757086569,0.307761539,-2.44932503,-1.295284693,0.730225546,-0.565059147,1.126982849,1.126982849,0,-0.45654698,0.842819295,0.386272315,0.397832232
Ty-Shon Alexander,alexaty01,2021,RS,PHO,15,98,47,-3.215139245,-1.661507758,-4.876647003,-8.075110094,-1.322379487,-9.397489581,-4.46501269,-1.740144337,-6.205157026,-0.08248516,-0.08248516,0,-4.426463153,-4.935320451,-9.361783604,-0.447806544
